**********START:03/14/2023 15:27:31**********
{'time': '03/14/2023 15:28:38', 'total_params': 827267, 'ratio': 1.0, 'loss': 0.9633368253707886, 'accuracy': 0.5542168617248535, 'precision': 0.5815295577049255, 'recall': 0.3722587823867798, 'auc': 0.7147626876831055, 'prc': 0.5851770043373108, 'seed': 0}
{'time': '03/14/2023 15:30:40', 'total_params': 827267, 'ratio': 2.0, 'loss': 0.8473413586616516, 'accuracy': 0.5520833134651184, 'precision': 0.655204713344574, 'recall': 0.4479166567325592, 'auc': 0.781982421875, 'prc': 0.6632672548294067, 'seed': 0}
{'time': '03/14/2023 15:35:11', 'total_params': 827267, 'ratio': 3.0, 'loss': 0.8831584453582764, 'accuracy': 0.5890411138534546, 'precision': 0.6414141654968262, 'recall': 0.4502314627170563, 'auc': 0.7587727308273315, 'prc': 0.6522319912910461, 'seed': 0}
{'time': '03/14/2023 15:36:41', 'total_params': 827267, 'ratio': 1.0, 'loss': 0.8421052694320679, 'accuracy': 0.650602400302887, 'precision': 0.7774436473846436, 'recall': 0.5263157486915588, 'auc': 0.8129626512527466, 'prc': 0.7378670573234558, 'seed': 1}
{'time': '03/14/2023 15:38:15', 'total_params': 827267, 'ratio': 2.0, 'loss': 0.928006112575531, 'accuracy': 0.5340909361839294, 'precision': 0.7795815467834473, 'recall': 0.3402777910232544, 'auc': 0.7428331971168518, 'prc': 0.628253698348999, 'seed': 1}
{'time': '03/14/2023 15:41:17', 'total_params': 827267, 'ratio': 3.0, 'loss': 0.7854365110397339, 'accuracy': 0.6597937941551208, 'precision': 0.5702381134033203, 'recall': 0.3203125, 'auc': 0.8419598937034607, 'prc': 0.7383707761764526, 'seed': 1}
{'time': '03/14/2023 15:42:53', 'total_params': 827267, 'ratio': 1.0, 'loss': 0.7311624884605408, 'accuracy': 0.7108433842658997, 'precision': 0.7518158555030823, 'recall': 0.5959429740905762, 'auc': 0.8636957406997681, 'prc': 0.7569544315338135, 'seed': 2}
{'time': '03/14/2023 15:45:12', 'total_params': 827267, 'ratio': 2.0, 'loss': 0.8458309769630432, 'accuracy': 0.6222222447395325, 'precision': 0.703289270401001, 'recall': 0.4975961446762085, 'auc': 0.7952159643173218, 'prc': 0.700947105884552, 'seed': 2}
{'time': '03/14/2023 15:49:03', 'total_params': 827267, 'ratio': 3.0, 'loss': 0.6876422166824341, 'accuracy': 0.6666666865348816, 'precision': 0.7704678177833557, 'recall': 0.560661792755127, 'auc': 0.8717039823532104, 'prc': 0.7873588800430298, 'seed': 2}
{'time': '03/14/2023 15:50:21', 'total_params': 827267, 'ratio': 1.0, 'loss': 0.7975901365280151, 'accuracy': 0.6867470145225525, 'precision': 0.8382353186607361, 'recall': 0.3656798303127289, 'auc': 0.834228515625, 'prc': 0.7705863118171692, 'seed': 3}
{'time': '03/14/2023 15:51:50', 'total_params': 827267, 'ratio': 2.0, 'loss': 0.7551658153533936, 'accuracy': 0.6585366129875183, 'precision': 0.7814035415649414, 'recall': 0.5, 'auc': 0.8383774161338806, 'prc': 0.759855329990387, 'seed': 3}
{'time': '03/14/2023 15:54:57', 'total_params': 827267, 'ratio': 3.0, 'loss': 0.8536713719367981, 'accuracy': 0.6097561120986938, 'precision': 0.6810276508331299, 'recall': 0.5138888955116272, 'auc': 0.7914931774139404, 'prc': 0.6746859550476074, 'seed': 3}
{'time': '03/14/2023 15:56:57', 'total_params': 827267, 'ratio': 1.0, 'loss': 0.6911843419075012, 'accuracy': 0.7831325531005859, 'precision': 0.8042593002319336, 'recall': 0.5394737124443054, 'auc': 0.8854696154594421, 'prc': 0.7957489490509033, 'seed': 4}
{'time': '03/14/2023 15:59:03', 'total_params': 827267, 'ratio': 2.0, 'loss': 0.714805543422699, 'accuracy': 0.6455696225166321, 'precision': 0.7927536368370056, 'recall': 0.5541666746139526, 'auc': 0.8544304370880127, 'prc': 0.765235424041748, 'seed': 4}
{'time': '03/14/2023 16:01:55', 'total_params': 827267, 'ratio': 3.0, 'loss': 0.860711395740509, 'accuracy': 0.625, 'precision': 0.6133332848548889, 'recall': 0.4791666567325592, 'auc': 0.7831217646598816, 'prc': 0.662354052066803, 'seed': 4}
{'time': '03/14/2023 16:03:20', 'total_params': 827267, 'ratio': 1.0, 'loss': 0.9065960049629211, 'accuracy': 0.5662650465965271, 'precision': 0.7071895599365234, 'recall': 0.3799342215061188, 'auc': 0.7655319571495056, 'prc': 0.6409499645233154, 'seed': 5}
{'time': '03/14/2023 16:05:51', 'total_params': 827267, 'ratio': 2.0, 'loss': 0.7832711338996887, 'accuracy': 0.6185566782951355, 'precision': 0.7752193212509155, 'recall': 0.5625, 'auc': 0.8192422389984131, 'prc': 0.7176929116249084, 'seed': 5}
{'time': '03/14/2023 16:09:54', 'total_params': 827267, 'ratio': 3.0, 'loss': 0.7467618584632874, 'accuracy': 0.6666666865348816, 'precision': 0.801908016204834, 'recall': 0.5814951062202454, 'auc': 0.8477365374565125, 'prc': 0.7790945768356323, 'seed': 5}
