**********START:02/26/2023 05:10:50**********
{'time': '02/26/2023 05:11:04', 'total_params': 750337, 'ratio': 0.1, 'loss': 0.8851776123046875, 'accuracy': 0.517241358757019, 'precision': 0.6153846383094788, 'recall': 0.47058823704719543, 'auc': 0.593137264251709, 'prc': 0.7344592213630676, 'seed': 0}
{'time': '02/26/2023 05:11:20', 'total_params': 753921, 'ratio': 0.2, 'loss': 0.6621942520141602, 'accuracy': 0.6666666865348816, 'precision': 0.7241379022598267, 'recall': 0.65625, 'auc': 0.7512499094009399, 'prc': 0.8005286455154419, 'seed': 0}
{'time': '02/26/2023 05:11:53', 'total_params': 753921, 'ratio': 0.3, 'loss': 0.4072495102882385, 'accuracy': 0.800000011920929, 'precision': 0.8974359035491943, 'recall': 0.7291666865348816, 'auc': 0.9039977788925171, 'prc': 0.9298785328865051, 'seed': 0}
{'time': '02/26/2023 05:12:32', 'total_params': 753921, 'ratio': 0.4, 'loss': 0.51553875207901, 'accuracy': 0.7719298005104065, 'precision': 0.75, 'recall': 0.8035714030265808, 'auc': 0.8486761450767517, 'prc': 0.8632176518440247, 'seed': 0}
{'time': '02/26/2023 05:13:08', 'total_params': 753921, 'ratio': 0.5, 'loss': 0.5125280618667603, 'accuracy': 0.7112675905227661, 'precision': 0.8166666626930237, 'recall': 0.6202531456947327, 'auc': 0.8162547945976257, 'prc': 0.8710572123527527, 'seed': 0}
{'time': '02/26/2023 05:13:57', 'total_params': 754689, 'ratio': 0.6, 'loss': 0.47231021523475647, 'accuracy': 0.8070175647735596, 'precision': 0.8117647171020508, 'recall': 0.8023256063461304, 'auc': 0.8878249526023865, 'prc': 0.8995431065559387, 'seed': 0}
{'time': '02/26/2023 05:14:55', 'total_params': 755457, 'ratio': 0.7, 'loss': 0.5703942179679871, 'accuracy': 0.7286432385444641, 'precision': 0.7555555701255798, 'recall': 0.6800000071525574, 'auc': 0.8234344124794006, 'prc': 0.8275908827781677, 'seed': 0}
{'time': '02/26/2023 05:15:23', 'total_params': 755457, 'ratio': 0.8, 'loss': 0.46158790588378906, 'accuracy': 0.7797356843948364, 'precision': 0.7857142686843872, 'recall': 0.7719298005104065, 'auc': 0.8587176203727722, 'prc': 0.8740537762641907, 'seed': 0}
{'time': '02/26/2023 05:16:17', 'total_params': 756225, 'ratio': 0.9, 'loss': 0.5757626295089722, 'accuracy': 0.76171875, 'precision': 0.7372881174087524, 'recall': 0.7435897588729858, 'auc': 0.843294620513916, 'prc': 0.8363422751426697, 'seed': 0}
{'time': '02/26/2023 05:17:07', 'total_params': 756481, 'ratio': 1.0, 'loss': 0.4488412141799927, 'accuracy': 0.7570422291755676, 'precision': 0.8500000238418579, 'recall': 0.6666666865348816, 'auc': 0.8782118558883667, 'prc': 0.9015903472900391, 'seed': 0}
{'time': '02/26/2023 05:17:20', 'total_params': 754177, 'ratio': 0.1, 'loss': 0.7607671618461609, 'accuracy': 0.517241358757019, 'precision': 0.5, 'recall': 0.5, 'auc': 0.6166666746139526, 'prc': 0.6396450996398926, 'seed': 1}
{'time': '02/26/2023 05:17:43', 'total_params': 755457, 'ratio': 0.2, 'loss': 0.6175187230110168, 'accuracy': 0.6315789222717285, 'precision': 0.5249999761581421, 'recall': 0.9130434989929199, 'auc': 0.7493605613708496, 'prc': 0.6763216257095337, 'seed': 1}
{'time': '02/26/2023 05:18:08', 'total_params': 755713, 'ratio': 0.3, 'loss': 0.5144256353378296, 'accuracy': 0.729411780834198, 'precision': 0.8648648858070374, 'recall': 0.6399999856948853, 'auc': 0.8548572063446045, 'prc': 0.8919462561607361, 'seed': 1}
{'time': '02/26/2023 05:18:30', 'total_params': 755713, 'ratio': 0.4, 'loss': 0.4955518841743469, 'accuracy': 0.7543859481811523, 'precision': 0.7777777910232544, 'recall': 0.7241379022598267, 'auc': 0.8249691724777222, 'prc': 0.8276486396789551, 'seed': 1}
{'time': '02/26/2023 05:18:56', 'total_params': 755713, 'ratio': 0.5, 'loss': 0.4897501766681671, 'accuracy': 0.7183098793029785, 'precision': 0.5641025900840759, 'recall': 0.8799999952316284, 'auc': 0.8781521916389465, 'prc': 0.8392230272293091, 'seed': 1}
{'time': '02/26/2023 05:19:43', 'total_params': 755713, 'ratio': 0.6, 'loss': 0.4537202715873718, 'accuracy': 0.7953216433525085, 'precision': 0.8275862336158752, 'recall': 0.782608687877655, 'auc': 0.8679141402244568, 'prc': 0.8973378539085388, 'seed': 1}
{'time': '02/26/2023 05:20:29', 'total_params': 755713, 'ratio': 0.7, 'loss': 0.5202445983886719, 'accuracy': 0.7688442468643188, 'precision': 0.769911527633667, 'recall': 0.8130841255187988, 'auc': 0.8599146604537964, 'prc': 0.8857079148292542, 'seed': 1}
{'time': '02/26/2023 05:21:27', 'total_params': 756225, 'ratio': 0.8, 'loss': 0.459089457988739, 'accuracy': 0.7753304243087769, 'precision': 0.7714285850524902, 'recall': 0.75, 'auc': 0.8670635223388672, 'prc': 0.8812520503997803, 'seed': 1}
{'time': '02/26/2023 05:22:20', 'total_params': 756993, 'ratio': 0.9, 'loss': 0.4409513771533966, 'accuracy': 0.78125, 'precision': 0.7637795209884644, 'recall': 0.7886179089546204, 'auc': 0.8740142583847046, 'prc': 0.883716344833374, 'seed': 1}
{'time': '02/26/2023 05:23:26', 'total_params': 756993, 'ratio': 1.0, 'loss': 0.439825177192688, 'accuracy': 0.8169013857841492, 'precision': 0.8041958212852478, 'recall': 0.8273381590843201, 'auc': 0.8842222094535828, 'prc': 0.8794426321983337, 'seed': 1}
{'time': '02/26/2023 05:23:38', 'total_params': 752897, 'ratio': 0.1, 'loss': 0.5961390733718872, 'accuracy': 0.5862069129943848, 'precision': 0.625, 'recall': 0.625, 'auc': 0.7091346383094788, 'prc': 0.662990152835846, 'seed': 2}
{'time': '02/26/2023 05:23:51', 'total_params': 752897, 'ratio': 0.2, 'loss': 0.558222234249115, 'accuracy': 0.6842105388641357, 'precision': 0.7727272510528564, 'recall': 0.5666666626930237, 'auc': 0.8018518686294556, 'prc': 0.8247296810150146, 'seed': 2}
{'time': '02/26/2023 05:24:07', 'total_params': 754945, 'ratio': 0.3, 'loss': 0.600471019744873, 'accuracy': 0.7176470756530762, 'precision': 0.7647058963775635, 'recall': 0.6190476417541504, 'auc': 0.7439091801643372, 'prc': 0.7590561509132385, 'seed': 2}
{'time': '02/26/2023 05:24:35', 'total_params': 754945, 'ratio': 0.4, 'loss': 0.478156715631485, 'accuracy': 0.7894737124443054, 'precision': 0.8035714030265808, 'recall': 0.7758620977401733, 'auc': 0.8599138259887695, 'prc': 0.869022011756897, 'seed': 2}
{'time': '02/26/2023 05:24:57', 'total_params': 754945, 'ratio': 0.5, 'loss': 0.50761878490448, 'accuracy': 0.7535211443901062, 'precision': 0.75, 'recall': 0.7605633735656738, 'auc': 0.8517159223556519, 'prc': 0.8476206064224243, 'seed': 2}
{'time': '02/26/2023 05:25:41', 'total_params': 754945, 'ratio': 0.6, 'loss': 0.5114368200302124, 'accuracy': 0.7251461744308472, 'precision': 0.8157894611358643, 'recall': 0.6526315808296204, 'auc': 0.8243767619132996, 'prc': 0.8689479827880859, 'seed': 2}
{'time': '02/26/2023 05:26:47', 'total_params': 754945, 'ratio': 0.7, 'loss': 0.48151785135269165, 'accuracy': 0.7487437129020691, 'precision': 0.75, 'recall': 0.7647058963775635, 'auc': 0.8488478660583496, 'prc': 0.8615197539329529, 'seed': 2}
{'time': '02/26/2023 05:27:37', 'total_params': 754945, 'ratio': 0.8, 'loss': 0.49874168634414673, 'accuracy': 0.757709264755249, 'precision': 0.801980197429657, 'recall': 0.6982758641242981, 'auc': 0.8436626195907593, 'prc': 0.8655526638031006, 'seed': 2}
