**********START:02/26/2023 05:10:50**********
{'time': '02/26/2023 05:11:01', 'total_params': 2226945, 'ratio': 0.1, 'loss': 0.6931127309799194, 'accuracy': 0.5862069129943848, 'precision': 0.5862069129943848, 'recall': 1.0, 'auc': 0.5, 'prc': 0.5862069129943848, 'seed': 0}
{'time': '02/26/2023 05:11:15', 'total_params': 2234113, 'ratio': 0.2, 'loss': 0.6932414770126343, 'accuracy': 0.4385964870452881, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5, 'prc': 0.5614035129547119, 'seed': 0}
{'time': '02/26/2023 05:11:48', 'total_params': 2234113, 'ratio': 0.3, 'loss': 0.3620081841945648, 'accuracy': 0.8941176533699036, 'precision': 0.9534883499145508, 'recall': 0.8541666865348816, 'auc': 0.9217343330383301, 'prc': 0.9155304431915283, 'seed': 0}
{'time': '02/26/2023 05:12:25', 'total_params': 2234113, 'ratio': 0.4, 'loss': 0.4010266661643982, 'accuracy': 0.7982456088066101, 'precision': 0.800000011920929, 'recall': 0.7857142686843872, 'auc': 0.9156403541564941, 'prc': 0.9084908366203308, 'seed': 0}
{'time': '02/26/2023 05:13:03', 'total_params': 2234113, 'ratio': 0.5, 'loss': 0.5080865025520325, 'accuracy': 0.7605633735656738, 'precision': 0.8571428656578064, 'recall': 0.6835442781448364, 'auc': 0.8741209506988525, 'prc': 0.892863392829895, 'seed': 0}
{'time': '02/26/2023 05:13:48', 'total_params': 2235649, 'ratio': 0.6, 'loss': 0.5112272500991821, 'accuracy': 0.7894737124443054, 'precision': 0.890625, 'recall': 0.6627907156944275, 'auc': 0.8890560865402222, 'prc': 0.8940404653549194, 'seed': 0}
{'time': '02/26/2023 05:14:45', 'total_params': 2237185, 'ratio': 0.7, 'loss': 0.4547822177410126, 'accuracy': 0.7738693356513977, 'precision': 0.8235294222831726, 'recall': 0.699999988079071, 'auc': 0.8856565356254578, 'prc': 0.8784072995185852, 'seed': 0}
{'time': '02/26/2023 05:15:16', 'total_params': 2237185, 'ratio': 0.8, 'loss': 0.6911647915840149, 'accuracy': 0.6211453676223755, 'precision': 0.6029411554336548, 'recall': 0.719298243522644, 'auc': 0.6432619094848633, 'prc': 0.6164839863777161, 'seed': 0}
{'time': '02/26/2023 05:16:05', 'total_params': 2238721, 'ratio': 0.9, 'loss': 0.49625498056411743, 'accuracy': 0.73828125, 'precision': 0.6689189076423645, 'recall': 0.8461538553237915, 'auc': 0.8666912913322449, 'prc': 0.8448159098625183, 'seed': 0}
{'time': '02/26/2023 05:17:00', 'total_params': 2239233, 'ratio': 1.0, 'loss': 0.4254809021949768, 'accuracy': 0.8239436745643616, 'precision': 0.8366013169288635, 'recall': 0.8366013169288635, 'auc': 0.8968717455863953, 'prc': 0.9182493686676025, 'seed': 0}
{'time': '02/26/2023 05:17:17', 'total_params': 2234625, 'ratio': 0.1, 'loss': 0.6931434869766235, 'accuracy': 0.517241358757019, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5, 'prc': 0.48275861144065857, 'seed': 1}
{'time': '02/26/2023 05:17:39', 'total_params': 2237185, 'ratio': 0.2, 'loss': 0.5748834609985352, 'accuracy': 0.719298243522644, 'precision': 0.6842105388641357, 'recall': 0.5652173757553101, 'auc': 0.790281355381012, 'prc': 0.653849720954895, 'seed': 1}
{'time': '02/26/2023 05:18:03', 'total_params': 2237697, 'ratio': 0.3, 'loss': 0.6107605695724487, 'accuracy': 0.729411780834198, 'precision': 0.7454545497894287, 'recall': 0.8199999928474426, 'auc': 0.727142870426178, 'prc': 0.7210460901260376, 'seed': 1}
{'time': '02/26/2023 05:18:25', 'total_params': 2237697, 'ratio': 0.4, 'loss': 0.6735751032829285, 'accuracy': 0.719298243522644, 'precision': 0.9333333373069763, 'recall': 0.48275861144065857, 'auc': 0.7977216243743896, 'prc': 0.8402237892150879, 'seed': 1}
{'time': '02/26/2023 05:18:50', 'total_params': 2237697, 'ratio': 0.5, 'loss': 0.7104259133338928, 'accuracy': 0.6267605423927307, 'precision': 0.48235294222831726, 'recall': 0.8199999928474426, 'auc': 0.7640217542648315, 'prc': 0.5829927325248718, 'seed': 1}
{'time': '02/26/2023 05:19:36', 'total_params': 2237697, 'ratio': 0.6, 'loss': 0.4091825485229492, 'accuracy': 0.8421052694320679, 'precision': 0.8494623899459839, 'recall': 0.8586956262588501, 'auc': 0.901348352432251, 'prc': 0.9136195778846741, 'seed': 1}
{'time': '02/26/2023 05:20:19', 'total_params': 2237697, 'ratio': 0.7, 'loss': 0.46130234003067017, 'accuracy': 0.7939698696136475, 'precision': 0.7946428656578064, 'recall': 0.8317757248878479, 'auc': 0.873882532119751, 'prc': 0.8904860019683838, 'seed': 1}
{'time': '02/26/2023 05:21:18', 'total_params': 2238721, 'ratio': 0.8, 'loss': 0.43876439332962036, 'accuracy': 0.7885462641716003, 'precision': 0.738095223903656, 'recall': 0.8611111044883728, 'auc': 0.8987317681312561, 'prc': 0.87353515625, 'seed': 1}
{'time': '02/26/2023 05:22:11', 'total_params': 2240257, 'ratio': 0.9, 'loss': 0.4455496668815613, 'accuracy': 0.7734375, 'precision': 0.704402506351471, 'recall': 0.9105691313743591, 'auc': 0.8917415738105774, 'prc': 0.8808386325836182, 'seed': 1}
{'time': '02/26/2023 05:23:15', 'total_params': 2240257, 'ratio': 1.0, 'loss': 0.46822136640548706, 'accuracy': 0.7887324094772339, 'precision': 0.7841726541519165, 'recall': 0.7841726541519165, 'auc': 0.859836220741272, 'prc': 0.8304980397224426, 'seed': 1}
{'time': '02/26/2023 05:23:35', 'total_params': 2232065, 'ratio': 0.1, 'loss': 0.693238377571106, 'accuracy': 0.4482758641242981, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5, 'prc': 0.5517241358757019, 'seed': 2}
{'time': '02/26/2023 05:23:49', 'total_params': 2232065, 'ratio': 0.2, 'loss': 0.6931356191635132, 'accuracy': 0.5263158082962036, 'precision': 0.5263158082962036, 'recall': 1.0, 'auc': 0.5, 'prc': 0.5263158082962036, 'seed': 2}
{'time': '02/26/2023 05:24:03', 'total_params': 2236161, 'ratio': 0.3, 'loss': 0.6931520104408264, 'accuracy': 0.4941176474094391, 'precision': 0.4941176474094391, 'recall': 1.0, 'auc': 0.5, 'prc': 0.4941176474094391, 'seed': 2}
{'time': '02/26/2023 05:24:28', 'total_params': 2236161, 'ratio': 0.4, 'loss': 0.5573031902313232, 'accuracy': 0.7280701994895935, 'precision': 0.6626505851745605, 'recall': 0.9482758641242981, 'auc': 0.8018780946731567, 'prc': 0.738895058631897, 'seed': 2}
{'time': '02/26/2023 05:24:49', 'total_params': 2236161, 'ratio': 0.5, 'loss': 0.6931471228599548, 'accuracy': 0.5, 'precision': 0.5, 'recall': 1.0, 'auc': 0.5, 'prc': 0.5, 'seed': 2}
{'time': '02/26/2023 05:25:36', 'total_params': 2236161, 'ratio': 0.6, 'loss': 0.43938910961151123, 'accuracy': 0.8128654956817627, 'precision': 0.8058252334594727, 'recall': 0.8736842274665833, 'auc': 0.8860111236572266, 'prc': 0.8958430290222168, 'seed': 2}
{'time': '02/26/2023 05:26:39', 'total_params': 2236161, 'ratio': 0.7, 'loss': 0.5280947089195251, 'accuracy': 0.7386934757232666, 'precision': 0.7659574747085571, 'recall': 0.7058823704719543, 'auc': 0.8305034041404724, 'prc': 0.8507369756698608, 'seed': 2}
{'time': '02/26/2023 05:27:29', 'total_params': 2236161, 'ratio': 0.8, 'loss': 0.500694990158081, 'accuracy': 0.7621145248413086, 'precision': 0.7818182110786438, 'recall': 0.7413793206214905, 'auc': 0.855972409248352, 'prc': 0.8733370900154114, 'seed': 2}
{'time': '02/26/2023 05:28:25', 'total_params': 2237697, 'ratio': 0.9, 'loss': 0.4648043215274811, 'accuracy': 0.796875, 'precision': 0.796875, 'recall': 0.796875, 'auc': 0.869171142578125, 'prc': 0.8437830209732056, 'seed': 2}
{'time': '02/26/2023 05:29:18', 'total_params': 2237697, 'ratio': 1.0, 'loss': 0.3790455758571625, 'accuracy': 0.8309859037399292, 'precision': 0.808917224407196, 'recall': 0.8758620619773865, 'auc': 0.9140660762786865, 'prc': 0.9206781387329102, 'seed': 2}
{'time': '02/26/2023 05:29:39', 'total_params': 2232577, 'ratio': 0.1, 'loss': 0.6931442022323608, 'accuracy': 0.517241358757019, 'precision': 0.517241358757019, 'recall': 1.0, 'auc': 0.5, 'prc': 0.517241358757019, 'seed': 3}
{'time': '02/26/2023 05:30:03', 'total_params': 2235137, 'ratio': 0.2, 'loss': 0.5647659301757812, 'accuracy': 0.719298243522644, 'precision': 0.7666666507720947, 'recall': 0.71875, 'auc': 0.7918750643730164, 'prc': 0.7945500612258911, 'seed': 3}
{'time': '02/26/2023 05:30:19', 'total_params': 2235649, 'ratio': 0.3, 'loss': 0.6931378245353699, 'accuracy': 0.5058823823928833, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5, 'prc': 0.4941176474094391, 'seed': 3}
{'time': '02/26/2023 05:30:36', 'total_params': 2235649, 'ratio': 0.4, 'loss': 0.6932430863380432, 'accuracy': 0.44736841320991516, 'precision': 0.44736841320991516, 'recall': 1.0, 'auc': 0.5, 'prc': 0.4473683834075928, 'seed': 3}
