ratio,prc0,prc1,prc2,prc3,prc4,prc5,model
1.0,0.2878120243549347,0.3392477035522461,0.3333333730697632,0.3494185209274292,0.28516310453414917,0.3333333432674408,single
4.0,0.4971544146537781,0.5451020002365112,0.6521137952804565,0.6067317724227905,0.5515564680099487,0.6572078466415405,single
7.0,0.7663370966911316,0.6612223386764526,0.7726022005081177,0.7110083103179932,0.7842710018157959,0.7425854206085205,single
10.0,0.8171700835227966,0.7349211573600769,0.7775756120681763,0.7177364826202393,0.7780255079269409,0.7650483846664429,single
13.0,0.8074787855148315,0.8198061585426331,0.8156827688217163,0.8005418181419373,0.8174563646316528,0.8084003329277039,single
16.0,0.8683222532272339,0.9042443037033081,0.8824176788330078,0.85288006067276,0.8609563708305359,0.9157338738441467,single
19.0,0.8510978817939758,0.9172223806381226,0.8667605519294739,0.8604267835617065,0.8879287838935852,0.8292263746261597,single
22.0,0.8682647943496704,0.9193442463874817,0.8992496728897095,0.8583188652992249,0.8594508767127991,0.8728230595588684,single
25.0,0.9312212467193604,0.905614972114563,0.8909893035888672,0.9020957350730896,0.9363989233970642,0.8464415073394775,single
28.0,0.9145623445510864,0.9392145276069641,0.8826777935028076,0.9063069820404053,0.9094956517219543,0.9145623445510864,single
31.0,0.9433956146240234,0.9112651348114014,0.9221938252449036,0.9209751486778259,0.9264088273048401,0.9138014316558838,single
34.0,0.9285743832588196,0.9247070550918579,0.9247070550918579,0.937126100063324,0.9670855402946472,0.9285743832588196,single
37.0,0.9158123731613159,0.8954432606697083,0.9484047889709473,0.926776647567749,0.9401205778121948,0.9186887145042419,single
40.0,0.9371496438980103,0.9445288181304932,0.9361631274223328,0.918556272983551,0.9519442319869995,0.9371496438980103,single
43.0,0.9488272666931152,0.9636793732643127,0.939426064491272,0.9488272666931152,0.9251442551612854,0.9384838938713074,single
1.0,0.5274341702461243,0.4377683103084564,0.42517244815826416,0.7026042938232422,0.40135520696640015,0.4732169508934021,dense
4.0,0.5486323833465576,0.6612120270729065,0.7227177023887634,0.8029888868331909,0.6661779284477234,0.8107685446739197,dense
7.0,0.7611573934555054,0.7604100108146667,0.8812891244888306,0.7301491498947144,0.7963582277297974,0.7720444798469543,dense
10.0,0.7999710440635681,0.8376763463020325,0.8411922454833984,0.8333603739738464,0.8474341630935669,0.8374975919723511,dense
13.0,0.8772611618041992,0.8907982110977173,0.8581928014755249,0.8122888803482056,0.8929113149642944,0.8868632316589355,dense
16.0,0.9002904295921326,0.9417544007301331,0.895056962966919,0.8907660841941833,0.9065720438957214,0.9399147629737854,dense
19.0,0.8864323496818542,0.9476383924484253,0.9191669821739197,0.9000906348228455,0.94368577003479,0.8773987889289856,dense
22.0,0.8726677298545837,0.9573082327842712,0.9101406931877136,0.9245143532752991,0.8906745314598083,0.9230985045433044,dense
25.0,0.9746206998825073,0.9417746067047119,0.9099591374397278,0.9257009029388428,0.9623131155967712,0.8842923641204834,dense
28.0,0.9409205913543701,0.9671231508255005,0.9359135627746582,0.9510834217071533,0.9403988122940063,0.9444692134857178,dense
31.0,0.9625588655471802,0.9450347423553467,0.9550878405570984,0.9445666074752808,0.9419089555740356,0.9402042627334595,dense
34.0,0.9518091082572937,0.9458503127098083,0.9623635411262512,0.938214123249054,0.9786675572395325,0.9445229768753052,dense
37.0,0.9376470446586609,0.9343249797821045,0.970490038394928,0.9425627589225769,0.9271896481513977,0.9492961764335632,dense
40.0,0.9501739740371704,0.9547141194343567,0.9650672674179077,0.9396412372589111,0.9681518077850342,0.9385346174240112,dense
43.0,0.9620358943939209,0.9761110544204712,0.9388492703437805,0.956995964050293,0.9463089108467102,0.9591593742370605,dense
1.0,0.5816292762756348,0.5365694761276245,0.5244564414024353,0.8149377703666687,0.6287976503372192,0.7322949767112732,tree
4.0,0.7180534601211548,0.7373794913291931,0.7670219540596008,0.8129599094390869,0.64439857006073,0.8552796244621277,tree
7.0,0.8939310312271118,0.7839963436126709,0.8177762031555176,0.7870072722434998,0.8887492418289185,0.8524084687232971,tree
10.0,0.8697088360786438,0.8240377902984619,0.8234595060348511,0.8296027183532715,0.8335691690444946,0.8768582940101624,tree
13.0,0.8852279782295227,0.8912758231163025,0.9099928736686707,0.9024816751480103,0.8807867169380188,0.9404395818710327,tree
16.0,0.9395394921302795,0.9509178400039673,0.9296993017196655,0.9212595224380493,0.9208145141601562,0.9352865219116211,tree
19.0,0.9381006956100464,0.9572066068649292,0.9358280301094055,0.90032559633255,0.9740826487541199,0.8943696022033691,tree
22.0,0.9372648000717163,0.9566290378570557,0.9651589393615723,0.9240678548812866,0.9500731229782104,0.9464647769927979,tree
25.0,0.9728517532348633,0.9451497197151184,0.9362999200820923,0.9322587847709656,0.9355353116989136,0.8847395181655884,tree
28.0,0.9636204242706299,0.9734185338020325,0.9549292922019958,0.9321691393852234,0.9577114582061768,0.9382925033569336,tree
31.0,0.9483099579811096,0.9588951468467712,0.9454224109649658,0.9623514413833618,0.9514613151550293,0.9453797936439514,tree
34.0,0.9736008644104004,0.9569935202598572,0.9668585658073425,0.9625000953674316,0.9900040030479431,0.9541194438934326,tree
37.0,0.947979211807251,0.941837728023529,0.9762008190155029,0.9430404901504517,0.9553465247154236,0.9513073563575745,tree
40.0,0.965992271900177,0.9745975136756897,0.97133469581604,0.9626184701919556,0.967395544052124,0.9626381397247314,tree
43.0,0.983703076839447,0.9798986911773682,0.9597841501235962,0.9712062478065491,0.9414836168289185,0.9740837216377258,tree
