**********START:02/26/2023 11:04:01**********
{'time': '02/26/2023 11:04:11', 'total_params': 1, 'ratio': 0.1, 'loss': 0.0, 'accuracy': 0.7407407164573669, 'precision': 0.75, 'recall': 0.692307710647583, 'auc': 0.8214285969734192, 'prc': 0.8295148611068726, 'seed': 0}
{'time': '02/26/2023 11:04:16', 'total_params': 1, 'ratio': 0.2, 'loss': 0.0, 'accuracy': 0.7777777910232544, 'precision': 0.9090909361839294, 'recall': 0.6666666865348816, 'auc': 0.9062498807907104, 'prc': 0.9247821569442749, 'seed': 0}
{'time': '02/26/2023 11:04:22', 'total_params': 1, 'ratio': 0.3, 'loss': 0.0, 'accuracy': 0.6172839403152466, 'precision': 0.9285714030265808, 'recall': 0.4727272689342499, 'auc': 0.8692307472229004, 'prc': 0.9195472598075867, 'seed': 0}
{'time': '02/26/2023 11:04:29', 'total_params': 1, 'ratio': 0.4, 'loss': 0.0, 'accuracy': 0.8148148059844971, 'precision': 0.8837209343910217, 'recall': 0.7169811129570007, 'auc': 0.9305317401885986, 'prc': 0.9286558628082275, 'seed': 0}
{'time': '02/26/2023 11:04:35', 'total_params': 1, 'ratio': 0.5, 'loss': 0.0, 'accuracy': 0.7777777910232544, 'precision': 0.9534883499145508, 'recall': 0.5942028760910034, 'auc': 0.9258893728256226, 'prc': 0.9322018623352051, 'seed': 0}
{'time': '02/26/2023 11:04:43', 'total_params': 1, 'ratio': 0.6, 'loss': 0.0, 'accuracy': 0.8086419701576233, 'precision': 0.9655172228813171, 'recall': 0.658823549747467, 'auc': 0.957448422908783, 'prc': 0.9631656408309937, 'seed': 0}
{'time': '02/26/2023 11:04:49', 'total_params': 1, 'ratio': 0.7, 'loss': 0.0, 'accuracy': 0.7671957612037659, 'precision': 0.9852941036224365, 'recall': 0.6090909242630005, 'auc': 0.9421749711036682, 'prc': 0.9628869891166687, 'seed': 0}
{'time': '02/26/2023 11:04:56', 'total_params': 1, 'ratio': 0.8, 'loss': 0.0, 'accuracy': 0.8240740895271301, 'precision': 0.9764705896377563, 'recall': 0.6974790096282959, 'auc': 0.9662999510765076, 'prc': 0.9740399718284607, 'seed': 0}
{'time': '02/26/2023 11:05:04', 'total_params': 1, 'ratio': 0.9, 'loss': 0.0, 'accuracy': 0.8436213731765747, 'precision': 0.9746835231781006, 'recall': 0.6814159154891968, 'auc': 0.9534376859664917, 'prc': 0.949965238571167, 'seed': 0}
{'time': '02/26/2023 11:05:10', 'total_params': 1, 'ratio': 1.0, 'loss': 0.0, 'accuracy': 0.8777777552604675, 'precision': 0.9803921580314636, 'recall': 0.7633587718009949, 'auc': 0.9772639870643616, 'prc': 0.9793123006820679, 'seed': 0}
{'time': '02/26/2023 11:05:16', 'total_params': 1, 'ratio': 0.1, 'loss': 0.0, 'accuracy': 0.6666666865348816, 'precision': 1.0, 'recall': 0.5, 'auc': 0.8271604776382446, 'prc': 0.9145008325576782, 'seed': 1}
{'time': '02/26/2023 11:05:21', 'total_params': 1, 'ratio': 0.2, 'loss': 0.0, 'accuracy': 0.7592592835426331, 'precision': 1.0, 'recall': 0.5666666626930237, 'auc': 0.9534722566604614, 'prc': 0.9619207978248596, 'seed': 1}
{'time': '02/26/2023 11:05:28', 'total_params': 1, 'ratio': 0.3, 'loss': 0.0, 'accuracy': 0.8518518805503845, 'precision': 0.96875, 'recall': 0.738095223903656, 'auc': 0.9508547186851501, 'prc': 0.9577891826629639, 'seed': 1}
{'time': '02/26/2023 11:05:35', 'total_params': 1, 'ratio': 0.4, 'loss': 0.0, 'accuracy': 0.6851851940155029, 'precision': 0.8181818127632141, 'recall': 0.4909090995788574, 'auc': 0.8739280104637146, 'prc': 0.8720271587371826, 'seed': 1}
