**********START:02/26/2023 09:30:35**********
{'time': '02/26/2023 09:30:53', 'total_params': 804097, 'ratio': 0.1, 'loss': 0.5984049439430237, 'accuracy': 0.8148148059844971, 'precision': 0.7857142686843872, 'recall': 0.8461538553237915, 'auc': 0.8021978139877319, 'prc': 0.7613499164581299, 'seed': 0}
{'time': '02/26/2023 09:31:12', 'total_params': 804097, 'ratio': 0.2, 'loss': 0.5585495829582214, 'accuracy': 0.7222222089767456, 'precision': 0.8571428656578064, 'recall': 0.6000000238418579, 'auc': 0.8069444298744202, 'prc': 0.8500747680664062, 'seed': 0}
{'time': '02/26/2023 09:32:23', 'total_params': 804097, 'ratio': 0.3, 'loss': 0.5802482962608337, 'accuracy': 0.6666666865348816, 'precision': 0.8888888955116272, 'recall': 0.581818163394928, 'auc': 0.7807692289352417, 'prc': 0.8900784254074097, 'seed': 0}
{'time': '02/26/2023 09:33:00', 'total_params': 804097, 'ratio': 0.4, 'loss': 0.4473085403442383, 'accuracy': 0.7592592835426331, 'precision': 0.7288135886192322, 'recall': 0.8113207817077637, 'auc': 0.874271035194397, 'prc': 0.8763329386711121, 'seed': 0}
{'time': '02/26/2023 09:33:29', 'total_params': 804097, 'ratio': 0.5, 'loss': 0.42700785398483276, 'accuracy': 0.8444444537162781, 'precision': 0.8636363744735718, 'recall': 0.8260869383811951, 'auc': 0.8869126439094543, 'prc': 0.9017882347106934, 'seed': 0}
{'time': '02/26/2023 09:35:11', 'total_params': 804097, 'ratio': 0.6, 'loss': 0.4582916498184204, 'accuracy': 0.790123462677002, 'precision': 0.7684210538864136, 'recall': 0.8588235378265381, 'auc': 0.8885407447814941, 'prc': 0.9186158180236816, 'seed': 0}
{'time': '02/26/2023 09:35:44', 'total_params': 804097, 'ratio': 0.7, 'loss': 0.4839458167552948, 'accuracy': 0.7354497313499451, 'precision': 0.8191489577293396, 'recall': 0.699999988079071, 'auc': 0.8434983491897583, 'prc': 0.8883787393569946, 'seed': 0}
{'time': '02/26/2023 09:36:28', 'total_params': 804097, 'ratio': 0.8, 'loss': 0.30562537908554077, 'accuracy': 0.875, 'precision': 0.9035087823867798, 'recall': 0.8655462265014648, 'auc': 0.9424759745597839, 'prc': 0.9581902027130127, 'seed': 0}
{'time': '02/26/2023 09:38:12', 'total_params': 804097, 'ratio': 0.9, 'loss': 0.41781359910964966, 'accuracy': 0.8024691343307495, 'precision': 0.792792797088623, 'recall': 0.778761088848114, 'auc': 0.8882573246955872, 'prc': 0.8896443843841553, 'seed': 0}
{'time': '02/26/2023 09:40:10', 'total_params': 804097, 'ratio': 1.0, 'loss': 0.3358878493309021, 'accuracy': 0.8444444537162781, 'precision': 0.8503937125205994, 'recall': 0.8244274854660034, 'auc': 0.9323961138725281, 'prc': 0.9368321895599365, 'seed': 0}
{'time': '02/26/2023 09:40:23', 'total_params': 804097, 'ratio': 0.1, 'loss': 0.7988712191581726, 'accuracy': 0.40740740299224854, 'precision': 0.5714285969734192, 'recall': 0.4444444477558136, 'auc': 0.4104938209056854, 'prc': 0.6229894161224365, 'seed': 1}
{'time': '02/26/2023 09:40:41', 'total_params': 804097, 'ratio': 0.2, 'loss': 0.39191192388534546, 'accuracy': 0.8333333134651184, 'precision': 0.8387096524238586, 'recall': 0.8666666746139526, 'auc': 0.9013888835906982, 'prc': 0.9291932582855225, 'seed': 1}
{'time': '02/26/2023 09:41:09', 'total_params': 804097, 'ratio': 0.3, 'loss': 0.5102145075798035, 'accuracy': 0.7654321193695068, 'precision': 0.7446808218955994, 'recall': 0.8333333134651184, 'auc': 0.860805869102478, 'prc': 0.8787239789962769, 'seed': 1}
{'time': '02/26/2023 09:41:38', 'total_params': 804097, 'ratio': 0.4, 'loss': 0.5357581377029419, 'accuracy': 0.75, 'precision': 0.7692307829856873, 'recall': 0.7272727489471436, 'auc': 0.8490566611289978, 'prc': 0.8703332543373108, 'seed': 1}
{'time': '02/26/2023 09:42:05', 'total_params': 804097, 'ratio': 0.5, 'loss': 0.5709020495414734, 'accuracy': 0.6962962746620178, 'precision': 0.7540983557701111, 'recall': 0.6388888955116272, 'auc': 0.7623457312583923, 'prc': 0.8104557394981384, 'seed': 1}
{'time': '02/26/2023 09:43:53', 'total_params': 804097, 'ratio': 0.6, 'loss': 0.4628671705722809, 'accuracy': 0.7716049551963806, 'precision': 0.8676470518112183, 'recall': 0.6781609058380127, 'auc': 0.8838313817977905, 'prc': 0.9051265120506287, 'seed': 1}
{'time': '02/26/2023 09:45:31', 'total_params': 804097, 'ratio': 0.7, 'loss': 0.44944697618484497, 'accuracy': 0.8465608358383179, 'precision': 0.8557692170143127, 'recall': 0.8640776872634888, 'auc': 0.9035335779190063, 'prc': 0.9147096276283264, 'seed': 1}
{'time': '02/26/2023 09:48:00', 'total_params': 804097, 'ratio': 0.8, 'loss': 0.5034680962562561, 'accuracy': 0.7638888955116272, 'precision': 0.7976190447807312, 'recall': 0.6633663177490234, 'auc': 0.8507964611053467, 'prc': 0.8356506824493408, 'seed': 1}
{'time': '02/26/2023 09:50:05', 'total_params': 804097, 'ratio': 0.9, 'loss': 0.29092785716056824, 'accuracy': 0.8683127760887146, 'precision': 0.8629032373428345, 'recall': 0.8770492076873779, 'auc': 0.9498373866081238, 'prc': 0.9497383236885071, 'seed': 1}
{'time': '02/26/2023 09:53:10', 'total_params': 804097, 'ratio': 1.0, 'loss': 0.46131107211112976, 'accuracy': 0.8074073791503906, 'precision': 0.9405940771102905, 'recall': 0.673758864402771, 'auc': 0.9035956263542175, 'prc': 0.926167368888855, 'seed': 1}
{'time': '02/26/2023 09:53:24', 'total_params': 804097, 'ratio': 0.1, 'loss': 0.7009972333908081, 'accuracy': 0.4444444477558136, 'precision': 0.5, 'recall': 0.13333334028720856, 'auc': 0.6666667461395264, 'prc': 0.643339991569519, 'seed': 2}
{'time': '02/26/2023 09:53:39', 'total_params': 804097, 'ratio': 0.2, 'loss': 0.611068844795227, 'accuracy': 0.6481481194496155, 'precision': 0.800000011920929, 'recall': 0.3199999928474426, 'auc': 0.7655172348022461, 'prc': 0.7124480605125427, 'seed': 2}
{'time': '02/26/2023 09:53:59', 'total_params': 804097, 'ratio': 0.3, 'loss': 0.540185809135437, 'accuracy': 0.7037037014961243, 'precision': 0.675000011920929, 'recall': 0.7105262875556946, 'auc': 0.8075275421142578, 'prc': 0.7535374760627747, 'seed': 2}
{'time': '02/26/2023 09:55:10', 'total_params': 804097, 'ratio': 0.4, 'loss': 0.5883738398551941, 'accuracy': 0.6759259104728699, 'precision': 0.6521739363670349, 'recall': 0.6122449040412903, 'auc': 0.7466275095939636, 'prc': 0.7365574836730957, 'seed': 2}
{'time': '02/26/2023 09:55:35', 'total_params': 804097, 'ratio': 0.5, 'loss': 0.5668429732322693, 'accuracy': 0.7111111283302307, 'precision': 0.6379310488700867, 'recall': 0.6727272868156433, 'auc': 0.7686364054679871, 'prc': 0.6867194175720215, 'seed': 2}
{'time': '02/26/2023 09:56:58', 'total_params': 804097, 'ratio': 0.6, 'loss': 0.4216597378253937, 'accuracy': 0.8024691343307495, 'precision': 0.8023256063461304, 'recall': 0.8214285969734192, 'auc': 0.8865994811058044, 'prc': 0.902963399887085, 'seed': 2}
{'time': '02/26/2023 09:58:54', 'total_params': 804097, 'ratio': 0.7, 'loss': 0.42028072476387024, 'accuracy': 0.8253968358039856, 'precision': 0.8285714387893677, 'recall': 0.8529411554336548, 'auc': 0.8965516686439514, 'prc': 0.9063830375671387, 'seed': 2}
{'time': '02/26/2023 10:01:33', 'total_params': 804097, 'ratio': 0.8, 'loss': 0.3692470192909241, 'accuracy': 0.8518518805503845, 'precision': 0.8543689250946045, 'recall': 0.8380952477455139, 'auc': 0.9192191958427429, 'prc': 0.9269276857376099, 'seed': 2}
{'time': '02/26/2023 10:04:44', 'total_params': 804097, 'ratio': 0.9, 'loss': 0.5355223417282104, 'accuracy': 0.7736625671386719, 'precision': 0.7923076748847961, 'recall': 0.7862595319747925, 'auc': 0.875, 'prc': 0.8972336053848267, 'seed': 2}
{'time': '02/26/2023 10:07:09', 'total_params': 804097, 'ratio': 1.0, 'loss': 0.4227352440357208, 'accuracy': 0.8111110925674438, 'precision': 0.8320000171661377, 'recall': 0.7761194109916687, 'auc': 0.8985404968261719, 'prc': 0.9023574590682983, 'seed': 2}
{'time': '02/26/2023 10:07:22', 'total_params': 804097, 'ratio': 0.1, 'loss': 0.7872118353843689, 'accuracy': 0.5185185074806213, 'precision': 0.5454545617103577, 'recall': 0.4285714328289032, 'auc': 0.5219780802726746, 'prc': 0.5581647753715515, 'seed': 3}
{'time': '02/26/2023 10:08:15', 'total_params': 804097, 'ratio': 0.2, 'loss': 0.5110598206520081, 'accuracy': 0.7777777910232544, 'precision': 0.7307692170143127, 'recall': 0.7916666865348816, 'auc': 0.8256944417953491, 'prc': 0.831256091594696, 'seed': 3}
{'time': '02/26/2023 10:09:06', 'total_params': 804097, 'ratio': 0.3, 'loss': 0.4190305471420288, 'accuracy': 0.8148148059844971, 'precision': 0.800000011920929, 'recall': 0.7777777910232544, 'auc': 0.8783949613571167, 'prc': 0.873999834060669, 'seed': 3}
{'time': '02/26/2023 10:09:28', 'total_params': 804097, 'ratio': 0.4, 'loss': 0.5165038704872131, 'accuracy': 0.75, 'precision': 0.8684210777282715, 'recall': 0.6000000238418579, 'auc': 0.8343052864074707, 'prc': 0.8665927052497864, 'seed': 3}
{'time': '02/26/2023 10:10:10', 'total_params': 804097, 'ratio': 0.5, 'loss': 0.5457251667976379, 'accuracy': 0.7851851582527161, 'precision': 0.75, 'recall': 0.7868852615356445, 'auc': 0.8033894300460815, 'prc': 0.7682798504829407, 'seed': 3}
{'time': '02/26/2023 10:10:39', 'total_params': 804097, 'ratio': 0.6, 'loss': 0.5683557987213135, 'accuracy': 0.709876537322998, 'precision': 0.8392857313156128, 'recall': 0.5529412031173706, 'auc': 0.8111535310745239, 'prc': 0.8301891684532166, 'seed': 3}
