**********START:02/26/2023 09:30:35**********
{'time': '02/26/2023 09:30:50', 'total_params': 2334465, 'ratio': 0.1, 'loss': 0.6933247447013855, 'accuracy': 0.48148149251937866, 'precision': 0.48148149251937866, 'recall': 1.0, 'auc': 0.5, 'prc': 0.48148149251937866, 'seed': 0}
{'time': '02/26/2023 09:31:05', 'total_params': 2334465, 'ratio': 0.2, 'loss': 0.6933118104934692, 'accuracy': 0.4444444477558136, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5, 'prc': 0.5555555820465088, 'seed': 0}
{'time': '02/26/2023 09:32:15', 'total_params': 2334465, 'ratio': 0.3, 'loss': 0.43294087052345276, 'accuracy': 0.7654321193695068, 'precision': 0.8600000143051147, 'recall': 0.7818182110786438, 'auc': 0.8632866740226746, 'prc': 0.923996090888977, 'seed': 0}
{'time': '02/26/2023 09:32:53', 'total_params': 2334465, 'ratio': 0.4, 'loss': 0.693149209022522, 'accuracy': 0.49074074625968933, 'precision': 0.49074074625968933, 'recall': 1.0, 'auc': 0.5, 'prc': 0.49074074625968933, 'seed': 0}
{'time': '02/26/2023 09:33:20', 'total_params': 2334465, 'ratio': 0.5, 'loss': 0.6931968927383423, 'accuracy': 0.4888888895511627, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5, 'prc': 0.5111111402511597, 'seed': 0}
{'time': '02/26/2023 09:34:59', 'total_params': 2334465, 'ratio': 0.6, 'loss': 0.4353005290031433, 'accuracy': 0.8271604776382446, 'precision': 0.8433734774589539, 'recall': 0.8235294222831726, 'auc': 0.8905271291732788, 'prc': 0.9102218151092529, 'seed': 0}
{'time': '02/26/2023 09:35:35', 'total_params': 2334465, 'ratio': 0.7, 'loss': 0.693597674369812, 'accuracy': 0.41798943281173706, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5, 'prc': 0.5820105671882629, 'seed': 0}
{'time': '02/26/2023 09:36:14', 'total_params': 2334465, 'ratio': 0.8, 'loss': 0.6934893727302551, 'accuracy': 0.44907405972480774, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5, 'prc': 0.5509259104728699, 'seed': 0}
{'time': '02/26/2023 09:38:01', 'total_params': 2334465, 'ratio': 0.9, 'loss': 0.3493996858596802, 'accuracy': 0.8395061492919922, 'precision': 0.818965494632721, 'recall': 0.8407079577445984, 'auc': 0.92423415184021, 'prc': 0.9204063415527344, 'seed': 0}
{'time': '02/26/2023 09:39:53', 'total_params': 2334465, 'ratio': 1.0, 'loss': 0.5866855382919312, 'accuracy': 0.7185184955596924, 'precision': 0.695035457611084, 'recall': 0.7480915784835815, 'auc': 0.7698391675949097, 'prc': 0.7419874668121338, 'seed': 0}
{'time': '02/26/2023 09:40:21', 'total_params': 2334465, 'ratio': 0.1, 'loss': 0.6937553882598877, 'accuracy': 0.3333333432674408, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5, 'prc': 0.6666666865348816, 'seed': 1}
{'time': '02/26/2023 09:40:36', 'total_params': 2334465, 'ratio': 0.2, 'loss': 0.6933808922767639, 'accuracy': 0.4444444477558136, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5, 'prc': 0.5555555820465088, 'seed': 1}
{'time': '02/26/2023 09:40:59', 'total_params': 2334465, 'ratio': 0.3, 'loss': 0.6931504607200623, 'accuracy': 0.48148149251937866, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5, 'prc': 0.5185185074806213, 'seed': 1}
{'time': '02/26/2023 09:41:27', 'total_params': 2334465, 'ratio': 0.4, 'loss': 0.6931276917457581, 'accuracy': 0.5092592835426331, 'precision': 0.5092592835426331, 'recall': 1.0, 'auc': 0.5, 'prc': 0.5092592835426331, 'seed': 1}
{'time': '02/26/2023 09:41:59', 'total_params': 2334465, 'ratio': 0.5, 'loss': 0.6931413412094116, 'accuracy': 0.5333333611488342, 'precision': 0.5333333611488342, 'recall': 1.0, 'auc': 0.5, 'prc': 0.5333333611488342, 'seed': 1}
{'time': '02/26/2023 09:43:43', 'total_params': 2334465, 'ratio': 0.6, 'loss': 0.46626490354537964, 'accuracy': 0.7654321193695068, 'precision': 0.8656716346740723, 'recall': 0.6666666865348816, 'auc': 0.8754022717475891, 'prc': 0.894670844078064, 'seed': 1}
{'time': '02/26/2023 09:45:17', 'total_params': 2334465, 'ratio': 0.7, 'loss': 0.3567105233669281, 'accuracy': 0.8518518805503845, 'precision': 0.8865979313850403, 'recall': 0.8349514603614807, 'auc': 0.9248136878013611, 'prc': 0.9428611397743225, 'seed': 1}
{'time': '02/26/2023 09:47:50', 'total_params': 2334465, 'ratio': 0.8, 'loss': 0.4144531488418579, 'accuracy': 0.8240740895271301, 'precision': 0.8118811845779419, 'recall': 0.8118811845779419, 'auc': 0.903874397277832, 'prc': 0.8991683721542358, 'seed': 1}
{'time': '02/26/2023 09:49:50', 'total_params': 2334465, 'ratio': 0.9, 'loss': 0.41693711280822754, 'accuracy': 0.798353910446167, 'precision': 0.770370364189148, 'recall': 0.8524590134620667, 'auc': 0.8933410048484802, 'prc': 0.8948519229888916, 'seed': 1}
{'time': '02/26/2023 09:52:54', 'total_params': 2334465, 'ratio': 1.0, 'loss': 0.36140480637550354, 'accuracy': 0.8518518805503845, 'precision': 0.8740741014480591, 'recall': 0.8368794322013855, 'auc': 0.926439106464386, 'prc': 0.9305601119995117, 'seed': 1}
{'time': '02/26/2023 09:53:21', 'total_params': 2334465, 'ratio': 0.1, 'loss': 0.6931860446929932, 'accuracy': 0.4444444477558136, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5, 'prc': 0.5555555820465088, 'seed': 2}
{'time': '02/26/2023 09:53:36', 'total_params': 2334465, 'ratio': 0.2, 'loss': 0.6931265592575073, 'accuracy': 0.5370370149612427, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5, 'prc': 0.46296295523643494, 'seed': 2}
{'time': '02/26/2023 09:53:55', 'total_params': 2334465, 'ratio': 0.3, 'loss': 0.6931716799736023, 'accuracy': 0.4691357910633087, 'precision': 0.4691357910633087, 'recall': 1.0, 'auc': 0.5, 'prc': 0.4691357910633087, 'seed': 2}
{'time': '02/26/2023 09:55:06', 'total_params': 2334465, 'ratio': 0.4, 'loss': 0.3699246048927307, 'accuracy': 0.8333333134651184, 'precision': 0.7924528121948242, 'recall': 0.8571428656578064, 'auc': 0.9204427599906921, 'prc': 0.9015076160430908, 'seed': 2}
{'time': '02/26/2023 09:55:29', 'total_params': 2334465, 'ratio': 0.5, 'loss': 0.6936467885971069, 'accuracy': 0.40740740299224854, 'precision': 0.40740740299224854, 'recall': 1.0, 'auc': 0.5, 'prc': 0.40740740299224854, 'seed': 2}
{'time': '02/26/2023 09:56:48', 'total_params': 2334465, 'ratio': 0.6, 'loss': 0.44432562589645386, 'accuracy': 0.7839506268501282, 'precision': 0.7951807379722595, 'recall': 0.7857142686843872, 'auc': 0.8824023008346558, 'prc': 0.8970874547958374, 'seed': 2}
{'time': '02/26/2023 09:58:43', 'total_params': 2334465, 'ratio': 0.7, 'loss': 0.38440659642219543, 'accuracy': 0.8253968358039856, 'precision': 0.8484848737716675, 'recall': 0.8235294222831726, 'auc': 0.9206670522689819, 'prc': 0.930749773979187, 'seed': 2}
{'time': '02/26/2023 10:01:21', 'total_params': 2334465, 'ratio': 0.8, 'loss': 0.3522554934024811, 'accuracy': 0.8472222089767456, 'precision': 0.8333333134651184, 'recall': 0.8571428656578064, 'auc': 0.9296868443489075, 'prc': 0.9328538179397583, 'seed': 2}
{'time': '02/26/2023 10:04:28', 'total_params': 2334465, 'ratio': 0.9, 'loss': 0.4087802469730377, 'accuracy': 0.8518518805503845, 'precision': 0.8799999952316284, 'recall': 0.8396946787834167, 'auc': 0.9147696495056152, 'prc': 0.9143422842025757, 'seed': 2}
{'time': '02/26/2023 10:06:53', 'total_params': 2334465, 'ratio': 1.0, 'loss': 0.39377567172050476, 'accuracy': 0.8333333134651184, 'precision': 0.8396946787834167, 'recall': 0.8208954930305481, 'auc': 0.9074571132659912, 'prc': 0.9039912223815918, 'seed': 2}
{'time': '02/26/2023 10:07:19', 'total_params': 2334465, 'ratio': 0.1, 'loss': 0.6931825280189514, 'accuracy': 0.48148149251937866, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5, 'prc': 0.5185185074806213, 'seed': 3}
{'time': '02/26/2023 10:08:10', 'total_params': 2334465, 'ratio': 0.2, 'loss': 0.49624598026275635, 'accuracy': 0.7592592835426331, 'precision': 0.6774193644523621, 'recall': 0.875, 'auc': 0.8749999403953552, 'prc': 0.8795373439788818, 'seed': 3}
{'time': '02/26/2023 10:08:59', 'total_params': 2334465, 'ratio': 0.3, 'loss': 0.6934767961502075, 'accuracy': 0.4444444477558136, 'precision': 0.4444444477558136, 'recall': 1.0, 'auc': 0.5, 'prc': 0.4444444477558136, 'seed': 3}
{'time': '02/26/2023 10:09:23', 'total_params': 2334465, 'ratio': 0.4, 'loss': 0.6931453347206116, 'accuracy': 0.5092592835426331, 'precision': 0.5092592835426331, 'recall': 1.0, 'auc': 0.5, 'prc': 0.5092592835426331, 'seed': 3}
{'time': '02/26/2023 10:10:02', 'total_params': 2334465, 'ratio': 0.5, 'loss': 0.6939899921417236, 'accuracy': 0.45185184478759766, 'precision': 0.45185184478759766, 'recall': 1.0, 'auc': 0.5, 'prc': 0.45185181498527527, 'seed': 3}
{'time': '02/26/2023 10:10:32', 'total_params': 2334465, 'ratio': 0.6, 'loss': 0.6931901574134827, 'accuracy': 0.4753086566925049, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5, 'prc': 0.5246913433074951, 'seed': 3}
{'time': '02/26/2023 10:11:04', 'total_params': 2334465, 'ratio': 0.7, 'loss': 0.6932111382484436, 'accuracy': 0.47089946269989014, 'precision': 0.47089946269989014, 'recall': 1.0, 'auc': 0.5, 'prc': 0.47089946269989014, 'seed': 3}
{'time': '02/26/2023 10:12:04', 'total_params': 2334465, 'ratio': 0.8, 'loss': 0.6904900670051575, 'accuracy': 0.6111111044883728, 'precision': 0.8888888955116272, 'recall': 0.3361344635486603, 'auc': 0.7140258550643921, 'prc': 0.800934910774231, 'seed': 3}
{'time': '02/26/2023 10:15:04', 'total_params': 2334465, 'ratio': 0.9, 'loss': 0.4066840410232544, 'accuracy': 0.8477365970611572, 'precision': 0.8536585569381714, 'recall': 0.8467742204666138, 'auc': 0.9222351312637329, 'prc': 0.9288493394851685, 'seed': 3}
{'time': '02/26/2023 10:17:31', 'total_params': 2334465, 'ratio': 1.0, 'loss': 0.33703717589378357, 'accuracy': 0.8629629611968994, 'precision': 0.8531468510627747, 'recall': 0.8840579986572266, 'auc': 0.9324220418930054, 'prc': 0.9466730952262878, 'seed': 3}
{'time': '02/26/2023 10:17:55', 'total_params': 2334465, 'ratio': 0.1, 'loss': 0.6931405067443848, 'accuracy': 0.5185185074806213, 'precision': 0.5185185074806213, 'recall': 1.0, 'auc': 0.5, 'prc': 0.5185185074806213, 'seed': 4}
{'time': '02/26/2023 10:18:11', 'total_params': 2334465, 'ratio': 0.2, 'loss': 0.6932151317596436, 'accuracy': 0.4444444477558136, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5, 'prc': 0.5555555820465088, 'seed': 4}
{'time': '02/26/2023 10:19:02', 'total_params': 2334465, 'ratio': 0.3, 'loss': 0.679500937461853, 'accuracy': 0.5679012537002563, 'precision': 0.800000011920929, 'recall': 0.27272728085517883, 'auc': 0.5942875146865845, 'prc': 0.698178231716156, 'seed': 4}
{'time': '02/26/2023 10:19:27', 'total_params': 2334465, 'ratio': 0.4, 'loss': 0.6932171583175659, 'accuracy': 0.4722222089767456, 'precision': 0.4722222089767456, 'recall': 1.0, 'auc': 0.5, 'prc': 0.4722222089767456, 'seed': 4}
{'time': '02/26/2023 10:19:57', 'total_params': 2334465, 'ratio': 0.5, 'loss': 0.6931332349777222, 'accuracy': 0.5111111402511597, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5, 'prc': 0.4888888895511627, 'seed': 4}
{'time': '02/26/2023 10:21:19', 'total_params': 2334465, 'ratio': 0.6, 'loss': 0.3520260453224182, 'accuracy': 0.8271604776382446, 'precision': 0.8372092843055725, 'recall': 0.8372092843055725, 'auc': 0.9216645956039429, 'prc': 0.9241636395454407, 'seed': 4}
{'time': '02/26/2023 10:22:37', 'total_params': 2334465, 'ratio': 0.7, 'loss': 0.34067755937576294, 'accuracy': 0.8465608358383179, 'precision': 0.9032257795333862, 'recall': 0.7088607549667358, 'auc': 0.936708927154541, 'prc': 0.9213829040527344, 'seed': 4}
