**********START:02/14/2023 03:19:29**********
{'time': '02/14/2023 03:21:23', 'total_params': 827267, 'ratio': 1.0, 'loss': 0.7914459705352783, 'accuracy': 0.6363636255264282, 'precision': 0.6935483813285828, 'recall': 0.4886363744735718, 'auc': 0.8223462700843811, 'prc': 0.7286579608917236, 'seed': 0}
{'time': '02/14/2023 03:24:03', 'total_params': 827267, 'ratio': 2.0, 'loss': 0.8037942051887512, 'accuracy': 0.6666666865348816, 'precision': 0.7469879388809204, 'recall': 0.5299145579338074, 'auc': 0.8247863054275513, 'prc': 0.7185466885566711, 'seed': 0}
{'time': '02/14/2023 03:29:07', 'total_params': 827267, 'ratio': 3.0, 'loss': 0.7651824951171875, 'accuracy': 0.6849315166473389, 'precision': 0.7130434513092041, 'recall': 0.5616438388824463, 'auc': 0.8382083773612976, 'prc': 0.7285811901092529, 'seed': 0}
{'time': '02/14/2023 03:32:48', 'total_params': 827267, 'ratio': 4.0, 'loss': 0.751059889793396, 'accuracy': 0.6647727489471436, 'precision': 0.699999988079071, 'recall': 0.5965909361839294, 'auc': 0.843887209892273, 'prc': 0.7154479622840881, 'seed': 0}
{'time': '02/14/2023 03:37:40', 'total_params': 827267, 'ratio': 5.0, 'loss': 0.6299949884414673, 'accuracy': 0.7365853786468506, 'precision': 0.7551020383834839, 'recall': 0.7219512462615967, 'auc': 0.8920642137527466, 'prc': 0.806863009929657, 'seed': 0}
{'time': '02/14/2023 03:42:57', 'total_params': 827267, 'ratio': 6.0, 'loss': 0.6988484859466553, 'accuracy': 0.7307692170143127, 'precision': 0.7465437650680542, 'recall': 0.692307710647583, 'auc': 0.8669598698616028, 'prc': 0.7698622345924377, 'seed': 0}
{'time': '02/14/2023 03:49:05', 'total_params': 827267, 'ratio': 7.0, 'loss': 0.6650651693344116, 'accuracy': 0.7756654024124146, 'precision': 0.7748091816902161, 'recall': 0.7718631029129028, 'auc': 0.8725007176399231, 'prc': 0.778064489364624, 'seed': 0}
{'time': '02/14/2023 03:59:13', 'total_params': 827267, 'ratio': 8.0, 'loss': 0.5301526188850403, 'accuracy': 0.835616409778595, 'precision': 0.8350515365600586, 'recall': 0.8321917653083801, 'auc': 0.9207080006599426, 'prc': 0.8520156145095825, 'seed': 0}
{'time': '02/14/2023 04:07:57', 'total_params': 827267, 'ratio': 9.0, 'loss': 0.46016812324523926, 'accuracy': 0.8198757767677307, 'precision': 0.824999988079071, 'recall': 0.8198757767677307, 'auc': 0.9427033066749573, 'prc': 0.8977739214897156, 'seed': 0}
{'time': '02/14/2023 04:15:29', 'total_params': 827267, 'ratio': 10.0, 'loss': 0.4896981120109558, 'accuracy': 0.8404558300971985, 'precision': 0.8424068689346313, 'recall': 0.8376068472862244, 'auc': 0.9293836355209351, 'prc': 0.880229115486145, 'seed': 0}
{'time': '02/14/2023 04:23:26', 'total_params': 827267, 'ratio': 11.0, 'loss': 0.44301638007164, 'accuracy': 0.8605263233184814, 'precision': 0.8605263233184814, 'recall': 0.8605263233184814, 'auc': 0.9452389478683472, 'prc': 0.9027478098869324, 'seed': 0}
