**********START:02/14/2023 03:19:29**********
{'time': '02/14/2023 03:21:36', 'total_params': 1, 'ratio': 1.0, 'loss': 0.0, 'accuracy': 0.7727272510528564, 'f1score': 0.34752357006073, 'precision': 1.0, 'recall': 0.21064813435077667, 'auc': 0.9165483117103577, 'prc': 0.8677116632461548, 'seed': 0}
{'time': '02/14/2023 03:24:13', 'total_params': 1, 'ratio': 2.0, 'loss': 0.0, 'accuracy': 0.7435897588729858, 'f1score': 0.37711596488952637, 'precision': 1.0, 'recall': 0.232638880610466, 'auc': 0.900449275970459, 'prc': 0.8440482020378113, 'seed': 0}
{'time': '02/14/2023 03:29:17', 'total_params': 1, 'ratio': 3.0, 'loss': 0.0, 'accuracy': 0.732876718044281, 'f1score': 0.47661271691322327, 'precision': 1.0, 'recall': 0.31296297907829285, 'auc': 0.8899182677268982, 'prc': 0.8260206580162048, 'seed': 0}
{'time': '02/14/2023 03:32:58', 'total_params': 1, 'ratio': 4.0, 'loss': 0.0, 'accuracy': 0.7954545617103577, 'f1score': 0.4921259582042694, 'precision': 1.0, 'recall': 0.3263888955116272, 'auc': 0.9295987486839294, 'prc': 0.8781415224075317, 'seed': 0}
{'time': '02/14/2023 03:37:50', 'total_params': 1, 'ratio': 5.0, 'loss': 0.0, 'accuracy': 0.795121967792511, 'f1score': 0.49493810534477234, 'precision': 1.0, 'recall': 0.3288690447807312, 'auc': 0.9186793565750122, 'prc': 0.8376450538635254, 'seed': 0}
{'time': '02/14/2023 03:43:08', 'total_params': 1, 'ratio': 6.0, 'loss': 0.0, 'accuracy': 0.8034188151359558, 'f1score': 0.4925946295261383, 'precision': 1.0, 'recall': 0.3268229067325592, 'auc': 0.9281904697418213, 'prc': 0.867925763130188, 'seed': 0}
{'time': '02/14/2023 03:49:16', 'total_params': 1, 'ratio': 7.0, 'loss': 0.0, 'accuracy': 0.8250950574874878, 'f1score': 0.4973752796649933, 'precision': 1.0, 'recall': 0.33101850748062134, 'auc': 0.9312300682067871, 'prc': 0.8771914839744568, 'seed': 0}
{'time': '02/14/2023 03:59:24', 'total_params': 1, 'ratio': 8.0, 'loss': 0.0, 'accuracy': 0.8630136847496033, 'f1score': 0.49881887435913086, 'precision': 1.0, 'recall': 0.3322916626930237, 'auc': 0.9512250423431396, 'prc': 0.9150117635726929, 'seed': 0}
{'time': '02/14/2023 04:08:09', 'total_params': 1, 'ratio': 9.0, 'loss': 0.0, 'accuracy': 0.8664596080780029, 'f1score': 0.49785250425338745, 'precision': 1.0, 'recall': 0.33143937587738037, 'auc': 0.9628775715827942, 'prc': 0.9332266449928284, 'seed': 0}
{'time': '02/14/2023 04:15:41', 'total_params': 1, 'ratio': 10.0, 'loss': 0.0, 'accuracy': 0.874643862247467, 'f1score': 0.49785250425338745, 'precision': 1.0, 'recall': 0.33143937587738037, 'auc': 0.9619017243385315, 'prc': 0.9328996539115906, 'seed': 0}
{'time': '02/14/2023 04:23:37', 'total_params': 1, 'ratio': 11.0, 'loss': 0.0, 'accuracy': 0.8815789222717285, 'f1score': 0.4990157186985016, 'precision': 1.0, 'recall': 0.332465261220932, 'auc': 0.9592452049255371, 'prc': 0.9259095191955566, 'seed': 0}
{'time': '02/14/2023 04:36:15', 'total_params': 1, 'ratio': 12.0, 'loss': 0.0, 'accuracy': 0.8875305652618408, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333134651184, 'auc': 0.9539756774902344, 'prc': 0.9203640818595886, 'seed': 0}
{'time': '02/14/2023 04:42:13', 'total_params': 1, 'ratio': 13.0, 'loss': 0.0, 'accuracy': 0.8858447670936584, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333134651184, 'auc': 0.9611324667930603, 'prc': 0.9299371838569641, 'seed': 0}
{'time': '02/14/2023 04:49:28', 'total_params': 1, 'ratio': 14.0, 'loss': 0.0, 'accuracy': 0.9102563858032227, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.9752686619758606, 'prc': 0.9567186236381531, 'seed': 0}
{'time': '02/14/2023 04:51:30', 'total_params': 1, 'ratio': 1.0, 'loss': 0.0, 'accuracy': 0.6931818127632141, 'f1score': 0.28728893399238586, 'precision': 1.0, 'recall': 0.16782407462596893, 'auc': 0.8422972559928894, 'prc': 0.7496552467346191, 'seed': 1}
{'time': '02/14/2023 04:54:00', 'total_params': 1, 'ratio': 2.0, 'loss': 0.0, 'accuracy': 0.7008547186851501, 'f1score': 0.3913271427154541, 'precision': 1.0, 'recall': 0.2446676790714264, 'auc': 0.8583899736404419, 'prc': 0.7463478446006775, 'seed': 1}
{'time': '02/14/2023 04:57:20', 'total_params': 1, 'ratio': 3.0, 'loss': 0.0, 'accuracy': 0.8219178318977356, 'f1score': 0.46201977133750916, 'precision': 1.0, 'recall': 0.3004629611968994, 'auc': 0.9448184370994568, 'prc': 0.8955495953559875, 'seed': 1}
{'time': '02/14/2023 05:03:22', 'total_params': 1, 'ratio': 4.0, 'loss': 0.0, 'accuracy': 0.7897727489471436, 'f1score': 0.49209466576576233, 'precision': 1.0, 'recall': 0.3263888955116272, 'auc': 0.9125210046768188, 'prc': 0.851518988609314, 'seed': 1}
{'time': '02/14/2023 05:06:35', 'total_params': 1, 'ratio': 5.0, 'loss': 0.0, 'accuracy': 0.8097561001777649, 'f1score': 0.4932508170604706, 'precision': 1.0, 'recall': 0.3273809254169464, 'auc': 0.9349197149276733, 'prc': 0.881263017654419, 'seed': 1}
{'time': '02/14/2023 05:11:29', 'total_params': 1, 'ratio': 6.0, 'loss': 0.0, 'accuracy': 0.8931623697280884, 'f1score': 0.4955708384513855, 'precision': 1.0, 'recall': 0.3294270634651184, 'auc': 0.9634332060813904, 'prc': 0.9255982041358948, 'seed': 1}
{'time': '02/14/2023 05:15:30', 'total_params': 1, 'ratio': 7.0, 'loss': 0.0, 'accuracy': 0.8365018963813782, 'f1score': 0.49868762493133545, 'precision': 1.0, 'recall': 0.3321759104728699, 'auc': 0.9410465955734253, 'prc': 0.8879857063293457, 'seed': 1}
{'time': '02/14/2023 05:21:40', 'total_params': 1, 'ratio': 8.0, 'loss': 0.0, 'accuracy': 0.9006849527359009, 'f1score': 0.4976377487182617, 'precision': 1.0, 'recall': 0.33124998211860657, 'auc': 0.9605900645256042, 'prc': 0.9226379990577698, 'seed': 1}
{'time': '02/14/2023 05:27:28', 'total_params': 1, 'ratio': 9.0, 'loss': 0.0, 'accuracy': 0.8757764101028442, 'f1score': 0.49785250425338745, 'precision': 1.0, 'recall': 0.33143937587738037, 'auc': 0.9575754404067993, 'prc': 0.9313125014305115, 'seed': 1}
{'time': '02/14/2023 05:35:12', 'total_params': 1, 'ratio': 10.0, 'loss': 0.0, 'accuracy': 0.8660968542098999, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.333333283662796, 'auc': 0.9537037014961243, 'prc': 0.9194523096084595, 'seed': 1}
