**********START:02/16/2023 17:39:09**********
{'time': '02/16/2023 18:20:47', 'total_params': 827267, 'ratio': 9.0, 'loss': 1.0588569641113281, 'accuracy': 0.36263737082481384, 'precision': 0.3595505654811859, 'recall': 0.35164836049079895, 'auc': 0.6667974591255188, 'prc': 0.49922654032707214, 'seed': 1}
{'time': '02/16/2023 18:26:25', 'total_params': 827267, 'ratio': 10.0, 'loss': 1.1997134685516357, 'accuracy': 0.35555556416511536, 'precision': 0.3636363744735718, 'recall': 0.31111112236976624, 'auc': 0.6057716608047485, 'prc': 0.4243166744709015, 'seed': 1}
{'time': '02/16/2023 18:32:04', 'total_params': 827267, 'ratio': 11.0, 'loss': 1.1975599527359009, 'accuracy': 0.3717948794364929, 'precision': 0.3802816867828369, 'recall': 0.3461538553237915, 'auc': 0.5833744406700134, 'prc': 0.4085042178630829, 'seed': 1}
{'time': '02/16/2023 18:37:39', 'total_params': 827267, 'ratio': 12.0, 'loss': 1.4196176528930664, 'accuracy': 0.3684210479259491, 'precision': 0.3684210479259491, 'recall': 0.3684210479259491, 'auc': 0.6122748851776123, 'prc': 0.421966552734375, 'seed': 1}
{'time': '02/16/2023 18:46:06', 'total_params': 827267, 'ratio': 13.0, 'loss': 1.372562050819397, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.5726884007453918, 'prc': 0.3776938319206238, 'seed': 1}
{'time': '02/16/2023 18:54:26', 'total_params': 827267, 'ratio': 14.0, 'loss': 1.1999731063842773, 'accuracy': 0.3866666555404663, 'precision': 0.3857142925262451, 'recall': 0.36000001430511475, 'auc': 0.6120889186859131, 'prc': 0.4161621034145355, 'seed': 1}
{'time': '02/16/2023 18:56:19', 'total_params': 827267, 'ratio': 1.0, 'loss': 0.9237653613090515, 'accuracy': 0.6136363744735718, 'precision': 0.78125, 'recall': 0.28409090638160706, 'auc': 0.7642045021057129, 'prc': 0.6130789518356323, 'seed': 2}
{'time': '02/16/2023 18:58:05', 'total_params': 827267, 'ratio': 2.0, 'loss': 1.0909456014633179, 'accuracy': 0.5058823823928833, 'precision': 0.5581395626068115, 'recall': 0.2823529541492462, 'auc': 0.6294809579849243, 'prc': 0.49831172823905945, 'seed': 2}
{'time': '02/16/2023 19:00:40', 'total_params': 827267, 'ratio': 3.0, 'loss': 0.9858393669128418, 'accuracy': 0.48148149251937866, 'precision': 0.5641025900840759, 'recall': 0.2716049253940582, 'auc': 0.6795458197593689, 'prc': 0.5300613641738892, 'seed': 2}
{'time': '02/16/2023 19:04:45', 'total_params': 827267, 'ratio': 4.0, 'loss': 0.8176328539848328, 'accuracy': 0.5588235259056091, 'precision': 0.6052631735801697, 'recall': 0.45098039507865906, 'auc': 0.803849458694458, 'prc': 0.6830816864967346, 'seed': 2}
{'time': '02/16/2023 19:10:09', 'total_params': 827267, 'ratio': 5.0, 'loss': 0.8685910701751709, 'accuracy': 0.5483871102333069, 'precision': 0.5797101259231567, 'recall': 0.4301075339317322, 'auc': 0.7674875259399414, 'prc': 0.6154709458351135, 'seed': 2}
{'time': '02/16/2023 19:15:27', 'total_params': 827267, 'ratio': 6.0, 'loss': 1.1100444793701172, 'accuracy': 0.39024388790130615, 'precision': 0.4545454680919647, 'recall': 0.3048780560493469, 'auc': 0.6472709774971008, 'prc': 0.4841882884502411, 'seed': 2}
{'time': '02/16/2023 19:18:50', 'total_params': 827267, 'ratio': 7.0, 'loss': 0.9944290518760681, 'accuracy': 0.5113636255264282, 'precision': 0.5443037748336792, 'recall': 0.4886363744735718, 'auc': 0.7276601195335388, 'prc': 0.6021738648414612, 'seed': 2}
{'time': '02/16/2023 19:27:32', 'total_params': 827267, 'ratio': 8.0, 'loss': 1.12838613986969, 'accuracy': 0.3670886158943176, 'precision': 0.3670886158943176, 'recall': 0.3670886158943176, 'auc': 0.6695241332054138, 'prc': 0.4810924530029297, 'seed': 2}
{'time': '02/16/2023 19:35:06', 'total_params': 827267, 'ratio': 9.0, 'loss': 1.0978344678878784, 'accuracy': 0.39361703395843506, 'precision': 0.3978494703769684, 'recall': 0.39361703395843506, 'auc': 0.6942620873451233, 'prc': 0.4971678853034973, 'seed': 2}
