epitope	gene	freq	SE
GenBank	IGHJ1	0.0269	0.0015
GenBank	IGHJ2	0.0267	0.0015
GenBank	IGHJ3	0.1213	0.003
GenBank	IGHJ4	0.4241	0.0046
GenBank	IGHJ5	0.1296	0.0031
GenBank	IGHJ6	0.2714	0.0041
Head	IGHJ1	0.0047	0.0047
Head	IGHJ2	0.0282	0.0113
Head	IGHJ3	0.169	0.0257
Head	IGHJ4	0.3099	0.0317
Head	IGHJ5	0.1502	0.0245
Head	IGHJ6	0.338	0.0324
Stem	IGHJ1	0.0175	0.0065
Stem	IGHJ2	0.0125	0.0055
Stem	IGHJ3	0.1047	0.0153
Stem	IGHJ4	0.5212	0.0249
Stem	IGHJ5	0.1471	0.0177
Stem	IGHJ6	0.197	0.0199
