Ab_type	freq	SE
Head	0.12834224598930483	0.014121355484501247
Head (non-IGHV2-70)	0.08	0.011840205918415277
Stem	0.007692307692307693	0.0038313323889182663
GenBank	0.01970048850804837	0.0012436232562971622
