**********START:02/15/2023 21:34:38**********
{'time': '02/15/2023 22:54:53', 'total_params': 1, 'ratio': 19.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4999999701976776, 'precision': 0.9999999403953552, 'recall': 0.3333333432674408, 'auc': 0.6893939971923828, 'prc': 0.49374887347221375, 'seed': 1}
{'time': '02/15/2023 22:57:52', 'total_params': 1, 'ratio': 22.0, 'loss': 0.0, 'accuracy': 0.3235294222831726, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6516003012657166, 'prc': 0.4738178849220276, 'seed': 1}
{'time': '02/15/2023 23:02:48', 'total_params': 1, 'ratio': 25.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.7233560085296631, 'prc': 0.5166572332382202, 'seed': 1}
{'time': '02/15/2023 23:09:24', 'total_params': 1, 'ratio': 28.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.646258533000946, 'prc': 0.4689744710922241, 'seed': 1}
{'time': '02/15/2023 23:17:59', 'total_params': 1, 'ratio': 31.0, 'loss': 0.0, 'accuracy': 0.3214285671710968, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6674107909202576, 'prc': 0.46712997555732727, 'seed': 1}
{'time': '02/15/2023 23:22:34', 'total_params': 1, 'ratio': 34.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6584466099739075, 'prc': 0.48245498538017273, 'seed': 1}
{'time': '02/15/2023 23:27:59', 'total_params': 1, 'ratio': 37.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4999999701976776, 'precision': 0.9999999403953552, 'recall': 0.3333333432674408, 'auc': 0.6691918969154358, 'prc': 0.5179500579833984, 'seed': 1}
{'time': '02/15/2023 23:34:22', 'total_params': 1, 'ratio': 40.0, 'loss': 0.0, 'accuracy': 0.3199999928474426, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.7111999988555908, 'prc': 0.5008888840675354, 'seed': 1}
{'time': '02/15/2023 23:41:08', 'total_params': 1, 'ratio': 43.0, 'loss': 0.0, 'accuracy': 0.3181818127632141, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6239669322967529, 'prc': 0.48544880747795105, 'seed': 1}
{'time': '02/15/2023 23:42:24', 'total_params': 1, 'ratio': 1.0, 'loss': 0.0, 'accuracy': 0.5333333611488342, 'f1score': 0.23529410362243652, 'precision': 1.0, 'recall': 0.13333334028720856, 'auc': 0.7186111211776733, 'prc': 0.5950292944908142, 'seed': 2}
